epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,505.61,1.71629,3.9983,0.00903,0.90351,0.08774,0.10626,0.05462,1.41917,3.3516,0.00875,0.000363948,0.000363948,0.000363948
2,1014.82,1.47752,2.90266,0.00729,0.78177,0.17792,0.16217,0.0942,1.30056,2.79927,0.00761,0.000685819,0.000685819,0.000685819
3,1515.87,1.45859,2.46654,0.00739,0.83014,0.20406,0.22224,0.13772,1.28125,2.3692,0.00749,0.000958806,0.000958806,0.000958806
4,2015.55,1.38092,2.11619,0.00709,0.69528,0.2608,0.26615,0.16628,1.25198,1.98533,0.00729,0.000891022,0.000891022,0.000891022
5,2510.88,1.35752,1.93099,0.00679,0.4559,0.27752,0.28347,0.18563,1.19161,1.75333,0.00682,0.000817696,0.000817696,0.000817696
6,3000.15,1.28123,1.82086,0.00786,0.49467,0.33693,0.29742,0.18012,1.27002,1.74763,0.00764,0.00074437,0.00074437,0.00074437
7,3493.42,1.25377,1.62478,0.00762,0.5566,0.43271,0.34783,0.20684,1.28408,1.56575,0.00781,0.000671044,0.000671044,0.000671044
8,3987.37,1.26611,1.49595,0.00767,0.5959,0.41783,0.38874,0.25067,1.184,1.37475,0.00673,0.000597718,0.000597718,0.000597718
9,4477.7,1.23461,1.38842,0.00738,0.71005,0.44917,0.46815,0.30967,1.14171,1.26124,0.00652,0.000524392,0.000524392,0.000524392
10,4970.31,1.21031,1.28882,0.00736,0.41407,0.47667,0.42604,0.27597,1.1891,1.27076,0.00674,0.000451066,0.000451066,0.000451066
11,5462.25,1.22092,1.2543,0.00707,0.82165,0.45811,0.53884,0.34427,1.17216,1.17402,0.00673,0.00037774,0.00037774,0.00037774
12,5952.47,1.17773,1.14251,0.00694,0.54108,0.49581,0.52679,0.35604,1.16602,1.07393,0.00662,0.000304414,0.000304414,0.000304414
13,6444.76,1.19889,1.09993,0.00727,0.52324,0.51149,0.54523,0.36504,1.15611,1.04877,0.0067,0.000231088,0.000231088,0.000231088
14,6932.49,1.17006,1.06252,0.00692,0.7554,0.51918,0.56757,0.38198,1.13286,1.02437,0.00643,0.000157762,0.000157762,0.000157762
15,7421.53,1.17618,1.03544,0.00665,0.57037,0.50595,0.56916,0.37489,1.10588,0.99716,0.0063,8.4436e-05,8.4436e-05,8.4436e-05
