epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9071,0.76452,4.97818,0.00433,0.00235,0.21429,0.00328,0.00289,0.67457,7.00184,0.00456,1.429e-05,1.429e-05,1.429e-05
2,30.0786,0.6725,5.0765,0.00555,0.00243,0.21429,0.0037,0.00323,0.63273,6.97643,0.00443,3.86259e-05,3.86259e-05,3.86259e-05
3,47.0059,0.78173,4.85482,0.00464,0.00338,0.28571,0.00468,0.00394,0.61348,6.96266,0.00449,5.73029e-05,5.73029e-05,5.73029e-05
4,59.1558,0.70143,4.81527,0.0046,0.0035,0.28571,0.00666,0.00577,0.58458,6.82856,0.00449,7.03211e-05,7.03211e-05,7.03211e-05
5,75.6125,0.61877,4.6494,0.00424,0.00449,0.35714,0.01097,0.00973,0.58984,6.78145,0.00444,7.76804e-05,7.76804e-05,7.76804e-05
6,87.9762,0.74217,4.57256,0.00475,0.00559,0.42857,0.01796,0.01604,0.56681,6.7599,0.00411,7.93809e-05,7.93809e-05,7.93809e-05
7,103.558,0.66543,4.5469,0.00435,0.00581,0.42857,0.03397,0.02997,0.57646,6.75802,0.00421,7.54226e-05,7.54226e-05,7.54226e-05
8,116.058,0.60782,4.56261,0.00515,0.00613,0.42857,0.04545,0.04053,0.57741,6.75387,0.00423,6.58055e-05,6.58055e-05,6.58055e-05
9,127.261,0.5166,4.54257,0.00475,0.00734,0.5,0.05849,0.05089,0.61669,6.72649,0.00462,5.05294e-05,5.05294e-05,5.05294e-05
10,138.452,0.70053,4.22823,0.00437,0.00773,0.5,0.07687,0.0669,0.60065,6.71623,0.00436,2.95946e-05,2.95946e-05,2.95946e-05
